app_id,franchise_name,steamdb_score,pub_link,dev_link
559610,NA,88.69%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Razzart+Visual,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Razzart+Visual
592410,NA,61.49%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Vibrant+Visuals+-+Christian+Kl%C3%B6tzel,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Vibrant+Visuals+-+Christian+Kl%C3%B6tzel
592450,NA,59.60%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Fakultet+elektrotehnike%2C+ra%C4%8Dunarstva+i+informacijskih+tehnologija+Osijek,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Denis+Vajak
526920,NA,63.84%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=On5,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=On5
690810,NA,54.96%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Tripwire+Interactive,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Tripwire+Interactive
592550,NA,50.00%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Cosy+Goat,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Cosy+Goat
592600,NA,49.89%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Konami+Digital+Entertainment++,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Konami+Digital+Entertainment+Co.%2C+Ltd
756440,NA,80.86%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Garage+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=SharkGame
592620,NA,53.59%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Sky+Trail+Ltd,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Sky+Trail+Ltd
494320,NA,58.22%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Forever+Entertainment+S.+A.,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Taito
690930,NA,83.19%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Aleksandr+Soldatov,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Aleksandr+Soldatov
527100,NA,75.32%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Ubisoft,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Ubisoft
527100,NA,75.32%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Ubisoft,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Ubisoft
559870,NA,66.99%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Tree+Men+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Tree+Men+Games
625430,NA,64.78%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=JoyBits+Ltd.,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=JoyBits+Ltd.
559910,NA,69.45%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=General+Interactive+Co.,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=General+Interactive+Co.
559930,NA,82.39%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Loju,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Loju
428860,2/name Close Your Eyes,78.73%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Yai+Gameworks,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Yai+Gameworks
625470,NA,82.48%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Play%3AD,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Play%3AD
723780,NA,63.31%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Gameloft,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Gameloft
723790,NA,71.32%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Home+Net+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Home+Net+Games
592720,NA,52.78%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Angry+Array,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Angry+Array
559960,NA,83.18%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Oddrok,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Oddrok
527280,"2/name KOEI TECMO GAMES CO., LTD.",66.74%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=KOEI+TECMO+GAMES+CO.%2C+LTD.,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=KOEI+TECMO+GAMES+CO.%2C+LTD.
428980,NA,35.00%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Soverance+Studios,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Soverance+Studios
691150,NA,83.22%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Sekai+Project,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=PALETTE
494580,NA,69.50%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Noclip,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Noclip
658510,NA,41.19%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=SOFTON+ENTERTAINMENT,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=SOFTON+ENTERTAINMENT
494670,NA,50.00%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=astragon+Entertainment,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Deck13+Hamburg
494700,NA,66.56%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=TDZ+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=TDZ+Games
560250,NA,65.34%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Dharker+Studios+Ltd,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Dharker+Studios+Ltd
